name,country,code
Atlantic City International Airport,US,ACY
Lenawee County Airport,US,ADG
Ada Regional Airport,US,ADT
Ardmore Municipal Airport,US,ADM
Addison Airport,US,ADS
Joint Base Andrews,US,ADW
Kake Seaplane Base,US,KAE
Albert Lea Municipal Airport,US,AEL
Alexandria International Airport,US,AEX
Karato Airport,PG,KAF
USAF Academy Airfield,US,AFF
Washington County Airport,US,WSG
Jaffrey Airport Silver Ranch Airport,US,AFN
Afton Municipal Airport,US,AFO
Fort Worth Alliance Airport,US,AFW
Allegheny County Airport,US,AGC
Ralph C Weiser Field,US,AGO
Augusta Regional At Bush Field,US,AGS
Amedee Army Air Field,US,AHC
Amery Municipal Airport,US,AHH
Athens Ben Epps Airport,US,AHN
Alliance Municipal Airport,US,AIA
Anderson Municipal Darlington Field,US,AID
Aiken Regional Airport,US,AIK
Atlantic Municipal Airport,US,AIO
George Downer Airport,US,AIV
Atlantic City Municipal Bader Field,US,AIY
Lee C Fine Memorial Airport,US,AIZ
Colorado Plains Regional Airport,US,AKO
Akron Fulton International Airport,US,AKC
Albany International Airport,US,ALB
Alice International Airport,US,ALI
Alamogordo White Sands Regional Airport,US,ALM
St Louis Regional Airport,US,ALN
Waterloo Regional Airport,US,ALO
San Luis Valley Regional Bergman Field,US,ALS
Walla Walla Regional Airport,US,ALW
Thomas C Russell Field,US,ALX
Rick Husband Amarillo International Airport,US,AMA
Gratiot Community Airport,US,AMN
Ames Municipal Airport,US,AMW
Anniston Regional Airport,US,ANB
Anderson Regional Airport,US,AND
Salida Airport Harriett Alexander Field,US,SLT
Lee Airport,US,ANP
Tri State Steuben County Airport,US,ANQ
Ainsworth Regional Airport,US,ANW
Anthony Municipal Airport,US,ANY
Lima Allen County Airport,US,AOH
Altoona Blair County Airport,US,AOO
Centennial Airport,US,APA
Napa County Airport,US,APC
Naples Municipal Airport,US,APF
Phillips Army Air Field,US,APG
A P Hill AAF (Fort A P Hill) Airport,US,APH
Alpena County Regional Airport,US,APN
Marion County Brown Field,US,APT
Apple Valley Airport,US,APV
Kamulai Airport,PG,KAQ
Acadiana Regional Airport,US,ARA
Ann Arbor Municipal Airport,US,ARB
Walnut Ridge Regional Airport,US,ARG
Wharton Regional Airport,US,WHT
Aurora Municipal Airport,US,AUZ
Watertown International Airport,US,ART
Lakeland-Noble F. Lee Memorial field,US,ARV
Beaufort County Airport,US,BFT
Aspen-Pitkin Co/Sardy Field,US,ASE
Springdale Municipal Airport,US,SPZ
Boire Field,US,ASH
Harrison County Airport,US,ASL
Talladega Municipal Airport,US,ASN
Astoria Regional Airport,US,AST
John F Kennedy Memorial Airport,US,ASX
Ashley Municipal Airport,US,ASY
Hartsfield Jackson Atlanta International Airport,US,ATL
Artesia Municipal Airport,US,ATS
Appleton International Airport,US,ATW
Watertown Regional Airport,US,ATY
Augusta State Airport,US,AUG
Austin Municipal Airport,US,AUM
Auburn Municipal Airport,US,AUN
Auburn University Regional Airport,US,AUO
Austin Bergstrom International Airport,US,AUS
Wausau Downtown Airport,US,AUW
Asheville Regional Airport,US,AVL
Avon Park Executive Airport,US,AVO
Wilkes Barre Scranton International Airport,US,AVP
Marana Regional Airport,US,AVW
Catalina Airport,US,AVX
West Memphis Municipal Airport,US,AWM
Algona Municipal Airport,US,AXG
Chandler Field,US,AXN
Altus Quartz Mountain Regional Airport,US,AXS
Neil Armstrong Airport,US,AXV
Angel Fire Airport,US,AXX
Ft Devens Moore Army Air Field,US,AYE
Waycross Ware County Airport,US,AYS
Arnold Air Force Base,US,TUH
Kalamazoo Battle Creek International Airport,US,AZO
Beale Air Force Base,US,BAB
Barksdale Air Force Base,US,BAD
Westfield-Barnes Regional Airport,US,BAF
Columbus Municipal Airport,US,CLU
Battle Mountain Airport,US,BAM
Benson Municipal Airport,US,BBB
Curtis Field,US,BBD
Marlboro County Jetport H.E. Avent Field,US,BTN
Broken Bow Municipal Airport,US,BBW
Virginia Tech Montgomery Executive Airport,US,BCB
Bryce Canyon Airport,US,BCE
Boca Raton Airport,US,BCT
Baudette International Airport,US,BDE
Blanding Municipal Airport,US,BDG
Bradley International Airport,US,BDL
Igor I Sikorsky Memorial Airport,US,BDR
Boulder Municipal Airport,US,WBU
Bell Island Hot Springs Seaplane Base,US,KBE
Beech Factory Airport,US,BEC
Laurence G Hanscom Field,US,BED
Southwest Michigan Regional Airport,US,BEH
Bradford Regional Airport,US,BFD
Western Neb. Rgnl/William B. Heilig Airport,US,BFF
Boeing Field King County International Airport,US,BFI
Meadows Field,US,BFL
Mobile Downtown Airport,US,BFM
Virgil I Grissom Municipal Airport,US,BFR
Hutchinson County Airport,US,BGD
Decatur County Industrial Air Park,US,BGE
Greater Binghamton/Edwin A Link field,US,BGM
Bangor International Airport,US,BGR
Hancock County-Bar Harbor Airport,US,BHB
Birmingham-Shuttlesworth International Airport,US,BHM
Block Island State Airport,US,BID
Beatrice Municipal Airport,US,BIE
Biggs Army Air Field (Fort Bliss),US,BIF
Eastern Sierra Regional Airport,US,BIH
Billings Logan International Airport,US,BIL
Bismarck Municipal Airport,US,BIS
Keesler Air Force Base,US,BIX
Rocky Mountain Metropolitan Airport,US,BJC
Bemidji Regional Airport,US,BJI
Wayne County Airport,US,BJJ
Stephens County Airport,US,BKD
Baker City Municipal Airport,US,BKE
Buckley Air Force Base,US,BFK
Burke Lakefront Airport,US,BKL
Allen C Perkinson Blackstone Army Air Field,US,BKT
Raleigh County Memorial Airport,US,BKW
Brookings Regional Airport,US,BKX
Mercer County Airport,US,BLF
Blythe Airport,US,BLH
Bellingham International Airport,US,BLI
Monmouth Executive Airport,US,BLM
Blue Canyon Nyack Airport,US,BLU
Scott AFB/Midamerica Airport,US,BLV
Kabwum,PG,KBM
Brigham City Regional Airport,US,BMC
Monroe County Airport,US,BMG
Central Illinois Regional Airport at Bloomington-Normal,US,BMI
Berlin Regional Airport,US,BML
Beaumont Municipal Airport,US,BMT
Nashville International Airport,US,BNA
Banning Municipal Airport,US,BNG
Barnwell Regional Airport,US,BNL
Burns Municipal Airport,US,BNO
Boone Municipal Airport,US,BNW
Boise Air Terminal/Gowen Field,US,BOI
General Edward Lawrence Logan International Airport,US,BOS
Bartow Executive Airport,US,BOW
Big Spring Mc Mahon-Wrinkle Airport,US,HCA
Miley Memorial Field,US,BPI
Ozark Regional Airport,US,WMH
Southeast Texas Regional Airport,US,BPT
Brunswick Golden Isles Airport,US,BQK
Brainerd Lakes Regional Airport,US,BRD
Southeast Iowa Regional Airport,US,BRL
Brownsville South Padre Island International Airport,US,BRO
Samuels Field,US,BRY
Skypark Airport,US,BTF
W K Kellogg Airport,US,BTL
Bert Mooney Airport,US,BTM
Britton Municipal Airport,US,TTO
Pittsburgh/Butler Regional Airport,US,BTP
Baton Rouge Metropolitan Airport,US,BTR
Burlington International Airport,US,BTV
Beatty Airport,US,BTY
Cram Field,US,BUB
Buffalo Niagara International Airport,US,BUF
Butler Memorial Airport,US,BUM
Bob Hope Airport,US,BUR
Beaver County Airport,US,BFP
Bartlesville Municipal Airport,US,BVO
Skagit Regional Airport,US,MVW
Batesville Regional Airport,US,BVX
Beverly Municipal Airport,US,BVY
Brawley Municipal Airport,US,BWC
Brownwood Regional Airport,US,BWD
Bowling Green Warren County Regional Airport,US,BWG
Baltimore/Washington International Thurgood Marshall Airport,US,BWI
Harry Stern Airport,US,WAH
Bowman Regional Airport,US,BWM
George R Carr Memorial Air Field,US,BXA
Buckeye Municipal Airport,US,BXK
Johnson County Airport,US,BYG
Arkansas International Airport,US,BYH
Burley Municipal Airport,US,BYI
Bicycle Lake Army Air Field,US,BYS
Bay City Municipal Airport,US,BBC
Gallatin Field,US,BZN
Grand Geneva Resort Airport,US,XES
Plymouth Municipal Airport,US,PLY
New Coalinga Municipal Airport,US,CLG
Wexford County Airport,US,CAD
Columbia Metropolitan Airport,US,CAE
Craig Moffat Airport,US,CIG
Akron Canton Regional Airport,US,CAK
Clayton Municipal Airpark,US,CAO
Caribou Municipal Airport,US,CAR
Greater Cumberland Regional Airport,US,CBE
Council Bluffs Municipal Airport,US,CBF
Shalz Field,US,CBK
Columbus Air Force Base,US,CBM
Coffman Cove Seaplane Base,US,KCC
Cable Airport,US,CCB
Buchanan Field,US,CCR
Northeast Iowa Regional Airport,US,CCY
Caledonia County Airport,US,LLX
Cedar City Regional Airport,US,CDC
Harrell Field,US,CDH
Woodward Field,US,CDN
Chadron Municipal Airport,US,CDR
Childress Municipal Airport,US,CDS
Essex County Airport,US,CDW
Cessna Aircraft Field,US,CEA
Jack Mc Namara Field Airport,US,CEC
Westover ARB/Metropolitan Airport,US,CEF
Oconee County Regional Airport,US,CEU
Mettel Field,US,CEV
Bob Sikes Airport,US,CEW
Kyle Oakley Field,US,CEY
Cortez Municipal Airport,US,CEZ
Coulter Field,US,CFD
Tuscola Area Airport,US,TZC
Greenlee County Airport,US,CFT
Coffeyville Municipal Airport,US,CFV
Chignik Fisheries Airport,US,KCG
Cambridge Dorchester Airport,US,CGE
Cuyahoga County Airport,US,CGF
Cape Girardeau Regional Airport,US,CGI
College Park Airport,US,CGS
Chicago Meigs Airport,US,CGX
Casa Grande Municipal Airport,US,CGZ
Lovell Field,US,CHA
Chickasha Municipal Airport,US,CHK
Charlottesville Albemarle Airport,US,CHO
Charleston Air Force Base-International Airport,US,CHS
Chico Municipal Airport,US,CIC
The Eastern Iowa Airport,US,CID
Arthur N Neu Airport,US,CIN
Cairo Regional Airport,US,CIR
Chippewa County International Airport,US,CIU
Kegelman AF Aux Field,US,CKA
North Central West Virginia Airport,US,CKB
Grand Marais Cook County Airport,US,GRM
Fletcher Field,US,CKM
Crookston Municipal Kirkwood Field,US,CKN
ClarksvilleâMontgomery County Regional Airport,US,CKV
Chignik Lagoon Airport,US,KCL
Cleveland Hopkins International Airport,US,CLE
Clintonville Municipal Airport,US,CLI
Clinton Regional Airport,US,CLK
Easterwood Field,US,CLL
William R Fairchild International Airport,US,CLM
Cliff Hatfield Memorial Airport,US,CLR
Chehalis Centralia Airport,US,CLS
Charlotte Douglas International Airport,US,CLT
Clearwater Air Park,US,CLW
John Glenn Columbus International Airport,US,CMH
University of Illinois Willard Airport,US,CMI
Houghton County Memorial Airport,US,CMX
Sparta Fort Mc Coy Airport,US,CMY
Chernofski Harbor Seaplane Base,US,KCN
Claremont Municipal Airport,US,CNH
Blosser Municipal Airport,US,CNK
Cavern City Air Terminal,US,CNM
Chino Airport,US,CNO
Chanute Martin Johnson Airport,US,CNU
TSTC Waco Airport,US,CNW
Canyonlands Field,US,CNY
Yellowstone Regional Airport,US,COD
Coeur D'Alene - Pappy Boyington Field,US,COE
Patrick Air Force Base,US,COF
Merritt Island Airport,US,COI
Coleman Municipal Airport,US,COM
Concord Municipal Airport,US,CON
City of Colorado Springs Municipal Airport,US,COS
Cotulla-La Salle County Airport,US,COT
Columbia Regional Airport,US,COU
Compton Woodley Airport,US,CPM
Casper-Natrona County International Airport,US,CPR
St Louis Downtown Airport,US,CPS
Cheraw Municipal Airport/Lynch Bellinger Field,US,HCW
Colorado Creek Airport,US,KCR
Grand Strand Airport,US,CRE
Jacksonville Executive at Craig Airport,US,CRG
Corcoran Airport,US,CRO
Corpus Christi International Airport,US,CRP
Mc Clellan-Palomar Airport,US,CLD
C David Campbell Field Corsicana Municipal Airport,US,CRS
Z M Jack Stell Field,US,CRT
Yeager Airport,US,CRW
Roscoe Turner Airport,US,CRX
Columbus Metropolitan Airport,US,CSG
Clinton Sherman Airport,US,CSM
Creston Municipal Airport,US,CSQ
Crossville Memorial Whitson Field,US,CSV
Cut Bank International Airport,US,CTB
Cross City Airport,US,CTY
Sampson County Airport,US,CTZ
Jim Hamilton L.B. Owens Airport,US,CUB
Cushing Municipal Airport,US,CUH
Cincinnati Northern Kentucky International Airport,US,CVG
Sharp County Regional Airport,US,CKK
Clovis Municipal Airport,US,CVN
Corvallis Municipal Airport,US,CVO
Cannon Air Force Base,US,CVS
Central Wisconsin Airport,US,CWA
Kickapoo Downtown Airport,US,KIP
Chennault International Airport,US,CWF
Clinton Municipal Airport,US,CWI
Calexico International Airport,US,CXL
Conroe-North Houston Regional Airport,US,CXO
Carson Airport,US,CSN
Capital City Airport,US,HAR
Cheyenne Regional Jerry Olson Field,US,CYS
Kochi Airport (é«ç¥ç©ºæ¸¯),JP,KCZ
Dimmit County Airport,US,CZT
Tioga Municipal Airport,US,VEX
Davison Army Air Field,US,DAA
Daytona Beach International Airport,US,DAB
Barstow Daggett Airport,US,DAG
Dallas Love Field,US,DAL
Danville Regional Airport,US,DAN
James M Cox Dayton International Airport,US,DAY
W H 'Bud' Barron Airport,US,DBN
Dubuque Regional Airport,US,DBQ
Ronald Reagan Washington National Airport,US,DCA
Pryor Field Regional Airport,US,DCU
Dodge City Regional Airport,US,DDC
Decatur Airport,US,DEC
Decorah Municipal Airport,US,DEH
Denver International Airport,US,DEN
Coleman A. Young Municipal Airport,US,DET
Defiance Memorial Airport,US,DFI
Dallas Fort Worth International Airport,US,DFW
Douglas Municipal Airport,US,DGL
Converse County Airport,US,DGW
Dothan Regional Airport,US,DHN
Dalhart Municipal Airport,US,DHT
Dickinson Theodore Roosevelt Regional Airport,US,DIK
Chautauqua County-Dunkirk Airport,US,DKK
Dillon County Airport,US,DLL
DLF Airport,US,DLF
Duluth International Airport,US,DLH
Dillon Airport,US,DLN
Columbia Gorge Regional the Dalles Municipal Airport,US,DLS
Davis Monthan Air Force Base,US,DMA
Deming Municipal Airport,US,DMN
Sedalia Memorial Airport,US,DMO
Daniel Field,US,DNL
Dalton Municipal Airport,US,DNN
Denison Municipal Airport,US,DNS
Vermilion Regional Airport,US,DNV
Dover Air Force Base,US,DOV
Kandep Airport,PG,KDP
Dupage Airport,US,DPA
Michael AAF (Dugway Proving Ground) Airport,US,DPG
Kamberatoro Airport,PG,KDQ
Desert Rock Airport,US,DRA
Beauregard Regional Airport,US,DRI
Drummond Island Airport,US,DRE
Durango La Plata County Airport,US,DRO
Del Rio International Airport,US,DRT
Kamaran Downs Airport,AU,KDS
Des Moines International Airport,US,DSM
Dansville Municipal Airport,US,DSV
Delta Municipal Airport,US,DTA
Detroit Lakes Airport - Wething Field,US,DTL
Shreveport Downtown Airport,US,DTN
Destin Executive Airport,US,DSI
Detroit Metropolitan Wayne County Airport,US,DTW
Eaker Field,US,DUA
Halliburton Field,US,DUC
Bisbee Douglas International Airport,US,DUG
DuBois Regional Airport,US,DUJ
Devils Lake Regional Airport,US,DVL
Davenport Municipal Airport,US,DVN
Marin County Airport - Gnoss Field,US,NOT
Slayton Municipal Airport,US,NSL
Phoenix Deer Valley Airport,US,DVT
Victoria Reservoir Seaplane Base,LK,KDW
Wright Field,US,DWF
David Wayne Hooks Memorial Airport,US,DWH
Danbury Municipal Airport,US,DXR
Doylestown Airport,US,DYL
Dyess Air Force Base,US,DYS
Polgolla Reservoir Seaplane Base,LK,KDZ
Mulika Lodge Airport,KE,JJM
Vipingo Estate Airport,KE,VPG
Kichwa Tembo Airport,KE,KTJ
Ol Seki Airstrip,KE,OSJ
Olare Orok Airfield,KE,OLG
Mara North Conservancy Airstrip,KE,HKR
Angama Airport,KE,ANA
Olkiombo Airport,KE,OLX
Kerio Valley Airport,KE,KRV
Kiunga Airport,KE,KIU
Liboi Airport,KE,LBK
Lake Baringo Airport,KE,LBN
Lake Rudolf Airport,KE,LKU
Mara Lodges Airport,KE,MRE
Mumias Airport,KE,MUM
Roy Hurd Memorial Airport,US,MIF
Crane County Airport,US,CCG
Ohkay Owingeh Airport,US,ESO
Whiteriver Airport,US,WTR
Alpine Casparis Municipal Airport,US,ALE
Bagdad Airport,US,BGT
Phifer Airfield,US,EAN
Kearney Regional Airport,US,EAR
Pangborn Memorial Airport,US,EAT
Chippewa Valley Regional Airport,US,EAU
Nanwalek Airport,US,KEB
Webster City Municipal Airport,US,EBS
Elizabeth City Regional Airport & Coast Guard Air Station,US,ECG
Northwest Florida Beaches International Airport,US,ECP
Mondell Field,US,ECS
Northeastern Regional Airport,US,EDE
Enterprise Municipal Airport,US,ETS
Edwards Air Force Base,US,EDW
Needles Airport,US,EED
Dillant Hopkins Airport,US,EEN
Ellington Airport,US,EFD
Northeast Kingdom International Airport,US,EFK
Jefferson Municipal Airport,US,EFW
Keglsugl Airport,PG,KEG
Eagle County Regional Airport,US,EGE
Duke Field,US,EGI
Eagle River Union Airport,US,EGV
Ekwok Airport,US,KEK
Murray Field,US,EKA
Elkhart Municipal Airport,US,EKI
Elkins-Randolph Co-Jennings Randolph Field,US,EKN
Elko Regional Airport,US,EKO
Addington Field,US,EKX
Eagle Lake Airport,US,ELA
South Arkansas Regional At Goodwin Field,US,ELD
Elk City Regional Business Airport,US,ELK
Elmira Corning Regional Airport,US,ELM
Bowers Field,US,ELN
Ely Municipal Airport,US,LYU
El Paso International Airport,US,ELP
Ely Airport Yelland Field,US,ELY
"Wellsville Municipal Arpt,Tarantine Field",US,ELZ
Kemmerer Municipal Airport,US,EMM
Emporia Municipal Airport,US,EMP
San Gabriel Valley Airport,US,EMT
Vance Air Force Base,US,END
Centralia Municipal Airport,US,ENL
Wendover Airport,US,ENV
Kenosha Regional Airport,US,ENW
Keokuk Municipal Airport,US,EOK
Ephrata Municipal Airport,US,EPH
Captain Jack Thomas El Dorado Airport,US,EDK
Erie International Tom Ridge Field,US,ERI
Errol Airport,US,ERR
Kerrville Municipal Louis Schreiner Field,US,ERV
Delta County Airport,US,ESC
Esler Regional Airport,US,ESF
Easton Newnam Field,US,ESN
Estherville Municipal Airport,US,EST
Easton State Airport,US,ESW
West Bend Municipal Airport,US,ETB
Eastland Municipal Airport,US,ETN
Weedon Field,US,EUF
Mahlon Sweet Field,US,EUG
Eveleth Virginia Municipal Airport,US,EVM
Evansville Regional Airport,US,EVV
Evanston-Uinta County Airport-Burns Field,US,EVW
New Bedford Regional Airport,US,EWB
Newton City-County Airport,US,EWK
Coastal Carolina Regional Airport,US,EWN
Newark Liberty International Airport,US,EWR
Kanabea Airport,PG,KEX
Key West International Airport,US,EYW
Kelani-Peliyagoda Seaplane Base,LK,KEZ
Wilbarger County Airport,US,WIB
French Valley Airport,US,RBK
Felker Army Air Field,US,FAF
Farmington Regional Airport,US,FAM
Hector International Airport,US,FAR
Fresno Yosemite International Airport,US,FAT
Fayetteville Regional Grannis Field,US,FAY
Simmons Army Air Field,US,FBG
Faribault Municipal Airport-Liz Wall Strohfus Field,US,FBL
Fort Bridger Airport,US,FBR
Fairbury Municipal Airport,US,FBY
Fresno Chandler Executive Airport,US,FCH
Flying Cloud Airport,US,FCM
Butts AAF (Fort Carson) Air Field,US,FCS
Forrest City Municipal Airport,US,FCY
Frederick Municipal Airport,US,FDK
Frederick Regional Airport,US,FDR
Findlay Airport,US,FDY
Albertus Airport,US,FEP
Fremont Municipal Airport,US,FET
First Flight Airport,US,FFA
Fairfield Municipal Airport,US,FFL
Fergus Falls Municipal Airport - Einar Mickelson Field,US,FFM
Wright-Patterson Air Force Base,US,FFO
Capital City Airport,US,FFT
Falcon Field,US,MSC
Friday Harbor Airport,US,FRD
Sierra Vista Municipal Airport / Libby Army Air Field,US,FHU
Venango Regional Airport,US,FKL
Franklin Regional Airport,US,FKN
Fond du Lac County Airport,US,FLD
Flagstaff Pulliam Airport,US,FLG
Fort Lauderdale Hollywood International Airport,US,FLL
Florence Regional Airport,US,FLO
Marion County Regional Airport,US,FLP
Flushing Airport,US,FLU
Sherman Army Air Field,US,FLV
Fallon Municipal Airport,US,FLX
Tipton Airport,US,FME
Cape Cod Coast Guard Air Station,US,FMH
Four Corners Regional Airport,US,FMN
Page Field,US,FMY
Northern Colorado Regional Airport,US,FNL
Bishop International Airport,US,FNT
Fort Dodge Regional Airport,US,FOD
Topeka Regional Airport - Forbes Field,US,FOE
Francis S Gabreski Airport,US,FOK
Fillmore Municipal Airport,US,FIL
St Lucie County International Airport,US,FPR
Republic Airport,US,FRG
French Lick Municipal Airport,US,FRH
Marshall Army Air Field,US,FRI
Fairmont Municipal Airport,US,FRM
Front Royal Warren County Airport,US,FRR
Joe Foss Field Airport,US,FSD
Henry Post Army Air Field (Fort Sill),US,FSI
Fort Scott Municipal Airport,US,FSK
Fort Smith Regional Airport,US,FSM
Fort Stockton Pecos County Airport,US,FST
Fort Sumner Municipal Airport,US,FSU
Fort Madison Municipal Airport,US,FMS
Godman Army Air Field,US,FTK
Fort Worth Meacham International Airport,US,FTW
Fulton County Airport Brown Field,US,FTY
Fullerton Municipal Airport,US,FUL
Northern Aroostook Regional Airport,US,WFK
Fort Wayne International Airport,US,FWA
Fort Lauderdale Executive Airport,US,FXE
Forest City Municipal Airport,US,FXY
Fayetteville Municipal Airport,US,FYM
Drake Field,US,FYV
Northeast Alabama Regional Airport,US,GAD
Gage Airport,US,GAG
Montgomery County Airpark,US,GAI
Great Bend Municipal Airport,US,GBD
Galesburg Municipal Airport,US,GBG
Walter J. Koladza Airport,US,GBR
Gillette Campbell County Airport,US,GCC
Grant Co Regional/Ogilvie Field,US,JDA
Garden City Regional Airport,US,GCK
Grand Canyon National Park Airport,US,GCN
Greeneville Municipal Airport,US,GCY
Gardner Municipal Airport,US,GDM
Dawson Community Airport,US,GDV
Gladwin Zettel Memorial Airport,US,GDW
Sussex County Airport,US,GED
Spokane International Airport,US,GEG
South Big Horn County Airport,US,GEY
Malmstrom Air Force Base,US,GFA
Grand Forks International Airport,US,GFK
Floyd Bennett Memorial Airport,US,GFL
Georgetown County Airport,US,GGE
East Texas Regional Airport,US,GGG
Wokal Field/Glasgow-Valley County Airport,US,GGW
Centerville Municipal Airport,US,GHM
Winter Haven Regional Airport - Gilbert Field,US,GIF
Grand Junction Regional Airport,US,GJT
Port Meadville Airport,US,MEJ
Gatlinburg-Pigeon Forge Airport,US,GKT
Renner Field-Goodland Municipal Airport,US,GLD
Gainesville Municipal Airport,US,GLE
Mid Delta Regional Airport,US,GLH
Gaylord Regional Airport,US,GLR
Scholes International At Galveston Airport,US,GLS
Glasgow Municipal Airport,US,GLW
Greenville Downtown Airport,US,GMU
Gooding Municipal Airport,US,GNG
Grants-Milan Municipal Airport,US,GNT
Gainesville Regional Airport,US,GNV
Guthrie-Edmond Regional Airport,US,GOK
Groton New London Airport,US,GON
Glacier Park International Airport,US,FCA
Gulfport Biloxi International Airport,US,GPT
Grand Rapids Itasca Co-Gordon Newstrom field,US,GPZ
Galion Municipal Airport,US,GQQ
Austin Straubel International Airport,US,GRB
Greenwood County Airport,US,GRD
Greenville Airport,US,GRE
Gray Army Air Field,US,GRF
Central Nebraska Regional Airport,US,GRI
Robert Gray  Army Air Field Airport,US,GRK
Gordon Municipal Airport,US,GRN
Gerald R. Ford International Airport,US,GRR
Seymour Johnson Air Force Base,US,GSB
Goshen Municipal Airport,US,GSH
Piedmont Triad International Airport,US,GSO
Greenville Spartanburg International Airport,US,GSP
Greater Southwest International Airport-Amon Carter Field,US,GSW
Great Falls International Airport,US,GTF
Grantsburg Municipal Airport,US,GTG
Golden Triangle Regional Airport,US,GTR
Gunnison Crested Butte Regional Airport,US,GUC
Gallup Municipal Airport,US,GUP
Grissom Air Reserve Base,US,GUS
Guymon Municipal Airport,US,GUY
Lee Gilmer Memorial Airport,US,GVL
Majors Airport,US,GVT
Richards-Gebaur Air Force Base,US,GVW
Kagi Airport,PG,KGW
GreenwoodâLeflore Airport,US,GWO
Glenwood Springs Municipal Airport,US,GWS
Grayling Airport,US,KGX
GreeleyâWeld County Airport,US,GXY
Donaldson Field Airport,US,GDC
North Texas Regional Airport/Perrin Field,US,PNX
Phoenix Goodyear Airport,US,GYR
Gary Chicago International Airport,US,GYY
Glacier Creek Airport,US,KGZ
Marion County Rankin Fite Airport,US,HAB
Half Moon Bay Airport,US,HAF
Three Rivers Municipal Dr Haines Airport,US,HAI
Butler Co Regional Airport - Hogan Field,US,HAO
Hatbox Field,US,HAX
Hattiesburg Bobby L Chain Municipal Airport,US,HBG
Hobart Regional Airport,US,HBR
Brewster Field,US,HDE
Yampa Valley Airport,US,HDN
Thompson-Robbins Airport,US,HEE
Manassas Regional Airport/Harry P. Davis Field,US,MNZ
Hardy-Anders Field / Natchez-Adams County Airport,US,HEZ
Hartford Brainard Airport,US,HFD
Mackall Army Air Field,US,HFF
Hagerstown Regional Richard A Henson Field,US,HGR
Jack Northrop Field Hawthorne Municipal Airport,US,HHR
Stan Stamper Municipal Airport,US,HUJ
Range Regional Airport,US,HIB
Mount Washington Regional Airport,US,HIE
Hill Air Force Base,US,HIF
Lake Havasu City Airport,US,HII
Portland Hillsboro Airport,US,HIO
Blytheville Municipal Airport,US,HKA
Hawkins Field,US,HKS
Hickory Regional Airport,US,HKY
Khan Jahan Ali Airport,BD,KHL
Hillenbrand Industries Airport,US,HLB
Hill City Municipal Airport,US,HLC
Wheeling Ohio County Airport,US,HLG
Park Township Airport,US,HLM
Helena Regional Airport,US,HLN
Hood Army Air Field,US,HLR
Holloman Air Force Base,US,HMN
Hemet Ryan Airport,US,HMT
Huntingburg Airport,US,HNB
Henderson Executive Airport,US,HSH
Lea County Regional Airport,US,HOB
Huron Regional Airport,US,HON
Campbell AAF (Fort Campbell) Air Field,US,HOP
Memorial Field,US,HOT
William P Hobby Airport,US,HOU
Westchester County Airport,US,HPN
Hampton Municipal Airport,US,HPT
Baytown Airport,US,HPY
Bowerman Airport,US,HQM
Hermiston Municipal Airport,US,HES
Valley International Airport,US,HRL
Boone County Airport,US,HRO
Harrisburg-Raleigh Airport,US,HSB
Billy Mitchell Airport,US,HNC
Hot Springs County Airport,US,THP
Hastings Municipal Airport,US,HSI
Ingalls Field,US,HSP
Homestead ARB Airport,US,HST
Huntsville International Carl T Jones Field,US,HSV
Hawthorne Industrial Airport,US,HTH
Roscommon County - Blodgett Memorial Airport,US,HTL
East Hampton Airport,US,HTO
Tri-State/Milton J. Ferguson Field,US,HTS
Lawrence County Airpark,US,HTW
Redstone Army Air Field,US,HUA
"Terre Haute Regional Airport, Hulman Field",US,HUF
Houlton International Airport,US,HUL
Houma Terrebonne Airport,US,HUM
Hutchinson Municipal Airport,US,HUT
Hanksville Airport,US,HVE
Tweed New Haven Airport,US,HVN
Havre City County Airport,US,HVR
Hartsville Regional Airport,US,HVS
Hayward Executive Airport,US,HWD
North Perry Airport,US,HWO
Brookhaven Airport,US,WSH
Hilton Head Airport,US,HHH
Barnstable Municipal Boardman Polando Field,US,HYA
Sawyer County Airport,US,HYR
Hays Regional Airport,US,HYS
Hazleton Municipal Airport,US,HZL
Northeast Ohio Regional Airport,US,JFN
Kaiapit Airport,PG,KIA
Mc Connell Air Force Base,US,IAB
Washington Dulles International Airport,US,IAD
Niagara Falls International Airport,US,IAG
George Bush Intercontinental Houston Airport,US,IAH
Ivanof Bay Seaplane Base,US,KIB
Schenck Field,US,ICL
Wichita Eisenhower National Airport,US,ICT
Idaho Falls Regional Airport,US,IDA
Indiana County/Jimmy Stewart Fld/ Airport,US,IDI
Independence Municipal Airport,US,IDP
Pine Ridge Airport,US,XPR
Iowa Falls Municipal Airport,US,IFA
Laughlin Bullhead International Airport,US,IFP
Kingman Airport,US,IGM
Greater Kankakee Airport,US,IKK
Kilwa Airport,CD,KIL
Skylark Field,US,ILE
New Castle Airport,US,ILG
Wilmington International Airport,US,ILM
Wilmington Airpark,US,ILN
Imperial Municipal Airport,US,IML
Immokalee Regional Airport,US,IMM
Madison Municipal Airport,US,MDN
Ford Airport,US,IMT
Indianapolis International Airport,US,IND
Winkler County Airport,US,INK
Falls International Airport,US,INL
Creech Air Force Base,US,INS
Smith Reynolds Airport,US,INT
Winslow Lindbergh Regional Airport,US,INW
Iowa City Municipal Airport,US,IOW
Imperial County Airport,US,IPL
Williamsport Regional Airport,US,IPT
Kira Airport,PG,KIQ
